street,city,region
79 Briar Crest Crossing,Sandy,Utah
82 Westport Trail,Memphis,Tennessee
8 High Crossing Way,Alhambra,California
63 Elka Lane,Atlanta,Georgia
2633 Del Mar Point,Naperville,Illinois
748 1st Point,Fresno,California
1499 Veith Parkway,Loretto,Minnesota
99947 Coleman Place,Atlanta,Georgia
311 Comanche Avenue,Gary,Indiana
8 Meadow Vale Terrace,South Bend,Indiana
5 Emmet Park,Charlotte,North Carolina
6893 Mcbride Center,Tallahassee,Florida
7764 Lawn Point,Trenton,New Jersey
5 Blaine Circle,Peoria,Illinois
1682 Lindbergh Avenue,Tulsa,Oklahoma
3097 Gulseth Alley,Fort Worth,Texas
632 Tennessee Point,New York City,New York
